Democrats (Emerging Wing),Republicans,Traditional Democrats
religious-groups-in-schools,crime,adoption-of-the-budget-resolution
crime,physician-fee-freeze,aid-to-nicaraguan-contras
el-salvador-aid,el-salvador-aid,anti-satellite-test-ban
superfund-right-to-sue,religious-groups-in-schools,mx-missile
synfuels-corporation-cutback,superfund-right-to-sue,export-administration-act-south-africa
water-project-cost-sharing,education-spending,duty-free-exports
adoption-of-the-budget-resolution,export-administration-act-south-africa,handicapped-infants
export-administration-act-south-africa,immigration,synfuels-corporation-cutback
handicapped-infants,water-project-cost-sharing,religious-groups-in-schools
education-spending,anti-satellite-test-ban,immigration
immigration,handicapped-infants,water-project-cost-sharing
duty-free-exports,aid-to-nicaraguan-contras,crime
physician-fee-freeze,synfuels-corporation-cutback,superfund-right-to-sue
anti-satellite-test-ban,adoption-of-the-budget-resolution,el-salvador-aid
mx-missile,mx-missile,education-spending
aid-to-nicaraguan-contras,duty-free-exports,physician-fee-freeze